Manhattan,0,1,2,3,4,5,6,7,8,9
0,0,1311.039,2369.412,471.266,3349.657,3088.054,9533.171,15772.615,20215.646,5604.2
1,1311.039,0,1068.94,840.723,2137.788,1781.823,8228.355,14909.17,18912.605,4696.975
2,2369.412,1068.94,0,1901.209,1176.45,2162.802,7168.733,13950.576,17851.807,3737.707
3,471.266,840.723,1901.209,0,2883.735,2619.811,9065.404,15434.46,19748.936,5221.253
4,3349.657,2137.788,1176.45,2883.735,0,3337.746,6190.679,12776.883,16873.244,2564.171
5,3088.054,1781.823,2162.802,2619.811,3337.746,0,8896.389,16105.347,17509.903,5893.07
6,9533.171,8228.355,7168.733,9065.404,6190.679,8896.389,0,7219.197,10690.484,3935.293
7,15772.615,14909.17,13950.576,15434.46,12776.883,16105.347,7219.197,0,16003.499,10221.031
8,20215.646,18912.605,17851.807,19748.936,16873.244,17509.903,10690.484,16003.499,0,14613.552
9,5604.2,4696.975,3737.707,5221.253,2564.171,5893.07,3935.293,10221.031,14613.552,0